district,location,rooms,area,floor,total_floors,area_per_room,actual_price,predicted_price,absolute_error,percentage_error
Sabunçu,Zabrat,1.0,34.0,1.0,4.0,34.0,45000.0,51362.18,6362.18,14.14
Sabunçu,Savalan,2.0,72.0,1.0,5.0,36.0,95000.0,88668.12,6331.880000000005,6.67
Nizami,8-ci Kilometr,2.0,77.0,13.0,19.0,38.5,210000.0,203812.9,6187.100000000006,2.95
Suraxanı,Günəşli,3.0,105.0,9.0,15.0,35.0,240000.0,233943.16,6056.8399999999965,2.52
Nizami,8-ci Kilometr,2.0,36.0,1.0,5.0,18.0,129000.0,122949.41,6050.5899999999965,4.69
Suraxanı,Hövsan,4.0,115.0,1.0,5.0,28.75,184000.0,177950.91,6049.0899999999965,3.29
Yasamal,Yasamal,3.0,93.0,17.0,19.0,31.0,296500.0,302544.2,6044.200000000012,2.04
Xətai,Köhnə Günəşli,3.0,76.0,4.0,7.0,25.333333333333332,175000.0,169023.2,5976.799999999988,3.42
Suraxanı,Qaraçuxur,2.0,53.0,11.0,12.0,26.5,111500.0,105645.98,5854.020000000004,5.25
Qaradağ,Sahil,2.0,65.0,4.0,4.0,32.5,102500.0,96790.49,5709.509999999995,5.57
Xəzər,Binə,2.0,54.0,2.0,3.0,27.0,64500.0,58825.17,5674.830000000002,8.8
Suraxanı,Zığ,5.0,134.0,3.0,5.0,26.8,210000.0,215649.19,5649.190000000002,2.69
Abşeron,Mehdiabad,3.0,77.0,5.0,12.0,25.666666666666668,101000.0,95374.33,5625.669999999998,5.57
Xətai,Köhnə Günəşli,3.0,68.0,1.0,12.0,22.666666666666668,149000.0,143375.88,5624.119999999995,3.77
Xətai,Əhmədli,3.0,117.0,5.0,11.0,39.0,284000.0,289613.56,5613.559999999998,1.98
Yasamal,Yasamal,4.0,130.0,5.0,5.0,32.5,391500.0,396989.69,5489.690000000002,1.4
Səbail,20-ci Sahə,2.0,50.0,2.0,3.0,25.0,106000.0,100510.67,5489.330000000002,5.18
Binəqədi,8-ci Mikrorayon,4.0,143.0,13.0,14.0,35.75,390000.0,395474.06,5474.059999999998,1.4
Qaradağ,Müşfiqabad,2.0,64.0,5.0,5.0,32.0,77000.0,82404.09,5404.0899999999965,7.02
Səbail,Şıxov,1.0,45.0,4.0,5.0,45.0,140000.0,134641.39,5358.609999999986,3.83
Səbail,Bayıl,3.0,85.0,14.0,16.0,28.333333333333332,203000.0,208353.4,5353.399999999994,2.64
Binəqədi,9-cu Mikrorayon,1.0,50.0,4.0,9.0,50.0,160000.0,154651.49,5348.510000000009,3.34
Qaradağ,Müşfiqabad,2.0,67.0,1.0,5.0,33.5,90000.0,84663.06,5336.940000000002,5.93
Xəzər,Mərdəkan,3.0,74.0,1.0,4.0,24.666666666666668,112000.0,117276.22,5276.220000000001,4.71
Binəqədi,8-ci Mikrorayon,2.0,75.0,8.0,16.0,37.5,224000.0,229251.12,5251.119999999995,2.34
Yasamal,Yasamal,3.0,91.0,14.0,19.0,30.333333333333332,295500.0,300742.06,5242.059999999998,1.77
Xətai,Əhmədli,3.0,83.0,1.0,14.0,27.666666666666668,189000.0,183769.95,5230.049999999988,2.77
Abşeron,Masazır,2.0,54.0,6.0,14.0,27.0,71500.0,76718.24,5218.240000000005,7.3
Sabunçu,Bakıxanov,2.0,85.0,3.0,4.0,42.5,196000.0,201200.47,5200.470000000001,2.65
Nəsimi,Kubinka,3.0,138.0,13.0,18.0,46.0,535500.0,530346.21,5153.790000000037,0.96
Xətai,Əhmədli,3.0,114.0,11.0,14.0,38.0,284500.0,279454.85,5045.150000000023,1.77
Sabunçu,Ramana,3.0,81.0,3.0,5.0,27.0,98000.0,103037.27,5037.270000000004,5.14
Səbail,Badamdar,3.0,106.0,6.0,18.0,35.333333333333336,283000.0,278006.33,4993.669999999984,1.76
Nəsimi,1-ci Mikrorayon,3.0,97.0,3.0,5.0,32.333333333333336,268500.0,273473.94,4973.940000000002,1.85
Nizami,8-ci Kilometr,2.0,58.0,3.0,14.0,29.0,161000.0,165910.7,4910.700000000012,3.05
